category	name	url	requested_ref	fixed_revision	version	local_path	status	license_file
04-分布式与架构	design-patterns-php	https://github.com/RefactoringGuru/design-patterns-php	main	8424aa7bc8f81ed93c4871729aad8687709b3fba	rolling	learning-materials/04-分布式与架构/design-patterns-php	ok	/var/www/wsl_doc/learning-materials/04-分布式与架构/design-patterns-php/LICENSE.txt
04-分布式与架构	java-design-patterns	https://github.com/iluwatar/java-design-patterns	master	b55fc2bcb5f8e1c4b884bca0a38d402d19fe467c	rolling	learning-materials/04-分布式与架构/java-design-patterns	ok	/var/www/wsl_doc/learning-materials/04-分布式与架构/java-design-patterns/LICENSE.md
04-分布式与架构	system-design-primer	https://github.com/donnemartin/system-design-primer	master	ae9bbd7b02d90b9866215de185217d33f39ab733	rolling	learning-materials/04-分布式与架构/system-design-primer	ok	/var/www/wsl_doc/learning-materials/04-分布式与架构/system-design-primer/LICENSE.txt
04-分布式与架构	system-design-101	https://github.com/ByteByteGoHq/system-design-101	main	b28380a4710c5ec9638ec037d4168e288f334cba	rolling	learning-materials/04-分布式与架构/system-design-101	ok	/var/www/wsl_doc/learning-materials/04-分布式与架构/system-design-101/LICENSE.md
04-分布式与架构	architecture-center	https://github.com/MicrosoftDocs/architecture-center	main	c8d425de181f581df8ec98953ec6cd5f1825f0ba	rolling	learning-materials/04-分布式与架构/architecture-center	ok	/var/www/wsl_doc/learning-materials/04-分布式与架构/architecture-center/LICENSE
04-分布式与架构	openapi-specification	https://github.com/OAI/OpenAPI-Specification	main	6d6084fb9ca086dc6db3de9e4089d5fb33c753df	rolling	learning-materials/04-分布式与架构/openapi-specification	ok	/var/www/wsl_doc/learning-materials/04-分布式与架构/openapi-specification/LICENSE
05-运维可观测性与安全	docker-docs	https://github.com/docker/docs	main	3a9d778562f39bcc0be46255b013c6a3ca526244	rolling	learning-materials/05-运维可观测性与安全/docker-docs	ok	/var/www/wsl_doc/learning-materials/05-运维可观测性与安全/docker-docs/LICENSE
05-运维可观测性与安全	kubernetes-website	https://github.com/kubernetes/website	main	6449f1eced66d36159c06c3cfae1d1aeec40d4a3	rolling	learning-materials/05-运维可观测性与安全/kubernetes-website	ok	/var/www/wsl_doc/learning-materials/05-运维可观测性与安全/kubernetes-website/LICENSE
05-运维可观测性与安全	prometheus-docs	https://github.com/prometheus/docs	main	6ee5b68a4660d0b4e7999c9ae8ddb025ca400aef	rolling	learning-materials/05-运维可观测性与安全/prometheus-docs	ok	/var/www/wsl_doc/learning-materials/05-运维可观测性与安全/prometheus-docs/LICENSE
05-运维可观测性与安全	opentelemetry-docs	https://github.com/open-telemetry/opentelemetry.io	main	60d50174e01d221f65af4b69ad1ae946fbc16ec8	rolling	learning-materials/05-运维可观测性与安全/opentelemetry-docs	ok	/var/www/wsl_doc/learning-materials/05-运维可观测性与安全/opentelemetry-docs/LICENSE
05-运维可观测性与安全	owasp-cheat-sheets	https://github.com/OWASP/CheatSheetSeries	master	07111ee754e832e335377ac64fd0f8f848d9029c	rolling	learning-materials/05-运维可观测性与安全/owasp-cheat-sheets	ok	/var/www/wsl_doc/learning-materials/05-运维可观测性与安全/owasp-cheat-sheets/LICENSE.md
